# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
8.124990016222000122e-02 -3.265041410923004150e-01 -6.842433661222457886e-02 1.282556215301156044e-03 2.716300025582313316e-01 3.400543391704559104e-01 4.940178915858269015e-02 6.052036546170711656e-02 6.977131652092793685e-05 5.479375276991049488e-05 2.250642434671357717e-01 3.031785691533436257e-04 2.950743148638148572e-01
2.210411354899406364e-02 -2.471746131777763367e-01 -9.585977345705033043e-03 1.251813583076000300e-03 2.535243734717368969e-01 2.631103508174419403e-01 4.940192922949791093e-02 6.072471328079700331e-02 6.977131415624171766e-05 1.179549679363844889e-04 2.291972039891320145e-01 9.753395167085288087e-04 2.410103344346215815e-01
4.556031953543424745e-02 -3.112205564975738525e-01 -3.290129005908966342e-02 1.265902852173894557e-03 2.350941672921180725e-01 2.679954573512077221e-01 4.940176419913768630e-02 6.097548715770244321e-02 6.977133889449760860e-05 5.226641987974289669e-05 2.342775232009325637e-01 3.543379330308597461e-04 2.687990540452269705e-01
4.534700540825724324e-02 -2.060561999678611755e-01 -3.329632878303527554e-02 1.205067778937518640e-03 2.165492132306098827e-01 2.498455420136451721e-01 4.940175972878933092e-02 6.107070893049239974e-02 6.977132470638025281e-05 -7.278759185282978618e-05 2.362051324796569096e-01 2.885705232747949947e-03 2.735922342743776770e-01
2.470357734709978034e-02 -2.189895138144493103e-01 -1.280658543109893834e-02 1.189699163660407066e-03 1.978125408291816767e-01 2.106191262602806202e-01 4.940196312963962555e-02 6.117372699081898013e-02 6.977132989050005563e-05 5.131636607984546843e-05 2.382853456663219238e-01 3.735674179961610093e-04 2.526551976790774034e-01
9.830874018371104847e-03 -1.263584420084953308e-01 2.014768868684768763e-03 1.184564328286796765e-03 1.786262795329093822e-01 1.766115106642246191e-01 4.940195605158805708e-02 6.088092364370822906e-02 6.977132343308767846e-05 1.173592067061690668e-04 2.323585645050347259e-01 9.632793329564602993e-04 2.365211770349627263e-01
8.293748367577791214e-03 -1.387097910046577454e-01 3.044058382511138743e-03 1.133780658710747870e-03 1.602049238979816326e-01 1.571608655154705103e-01 4.940184354782104631e-02 6.092429272830486575e-02 6.977130615268834477e-05 9.060098036570707878e-05 2.332392549095224643e-01 4.216375891404527737e-04 2.378387315398848290e-01
4.527425859123468399e-03 -1.057701818645000458e-01 6.843297183513641704e-03 1.137072267010808034e-03 1.416902408003807012e-01 1.348469439893960897e-01 4.940145984292030473e-02 6.080586016178131381e-02 6.977130578889045864e-05 7.832157098164316944e-06 2.308514840430270498e-01 1.253791869439032682e-03 2.400856453629905407e-01
-2.623850814998150011e-02 -5.592747777700424194e-02 3.743418902158737044e-02 1.119568129070103168e-03 1.231435433030128451e-01 8.570935446768998545e-02 4.940167628228664398e-02 6.070635244250297685e-02 6.977132343308767846e-05 -1.110952944145537981e-05 2.288318334663652087e-01 1.637208673056835331e-03 2.690227992900794951e-01
-3.014521254226565361e-02 -7.866993546485900879e-02 4.101030752062797408e-02 1.086509518790990027e-03 1.042745202779769842e-01 6.326421331614255628e-02 4.940199889242648940e-02 6.053474694490432878e-02 6.977133061809581433e-05 8.674971700202149534e-05 2.253501538772590407e-01 3.436781256676003341e-04 2.677906490423455632e-01
-1.912316484376788001e-02 -2.000774536281824112e-02 2.989368923008441786e-02 1.077052450273185925e-03 8.578188549727201739e-02 5.588819729164242606e-02 4.940192513167858401e-02 6.027241349220276156e-02 6.977131552048377032e-05 6.126915159256895462e-05 2.200417965763347139e-01 1.721018746755431737e-04 2.511846401313678201e-01
-2.778488295152783255e-02 -4.340081010013818741e-03 3.843563776463269910e-02 1.065075467340648131e-03 6.814166978001594266e-02 2.970603266730904510e-02 4.940177761018275937e-02 6.004986427724361142e-02 6.977131906751309911e-05 9.058331379492301223e-05 2.155405570800860149e-01 4.212802804630017320e-04 2.554625505925223750e-01
-5.461362358182668408e-02 4.523416981101036072e-03 6.496849898248910349e-02 1.035487570334225893e-03 5.061969589442014833e-02 -1.434880318120121921e-02 4.940171279013157168e-02 5.963964387774467468e-02 6.977130835821299386e-05 7.433292212226661193e-05 2.072383832297203798e-01 9.233715809287697219e-05 2.733347069406365515e-01
-3.172569153830408911e-02 2.176546491682529449e-02 4.145216383039951324e-02 9.726471733301877542e-04 3.332521682605147501e-02 -8.126947190612554203e-03 4.940139017999171933e-02 5.943188816308975220e-02 6.977133525651880151e-05 5.919820614508352835e-06 2.030408040411277593e-01 1.292504409452403281e-03 2.467581194543098655e-01
-5.108588393777609149e-02 1.642573345452547073e-02 6.084792558103799959e-02 9.762040455825627284e-04 1.654137207660823922e-02 -4.430655352771282335e-02 4.940188080072403093e-02 5.888206548988818984e-02 6.977132977681321790e-05 8.193708235921803591e-05 1.918992664917591462e-01 2.462609193207125364e-04 2.539696570377004137e-01
-3.402449535205960551e-02 4.550840891897678375e-02 4.356295895995572487e-02 9.538463607896118922e-04 2.774632885120809078e-04 -4.328549455385655165e-02 4.940163604915141782e-02 5.862418115139007846e-02 6.977131588428164290e-05 -2.445203826937358691e-05 1.866850136881325617e-01 1.907292180728626827e-03 2.331091111896065327e-01
-4.849593192338943343e-02 9.040764346718788147e-02 5.749780572950839719e-02 9.001873084343969388e-04 -1.532327260356396506e-02 -7.282107919454575140e-02 4.940182492136955400e-02 5.819670893251895766e-02 6.977134362387004698e-05 -3.252866008551791522e-07 1.780275126469469393e-01 1.418907709075032482e-03 2.378444133939647820e-01
-5.143730659037828307e-02 7.152172550559043884e-02 6.037433147430419644e-02 8.937025966588407321e-04 -3.035533470101654460e-02 -9.072966538369656164e-02 4.940184392035007477e-02 5.776970721781253537e-02 6.977132670726859942e-05 -8.682241605129092593e-06 1.693836228215382100e-01 1.588069636374286929e-03 2.322397265288755341e-01
-4.137507975101471086e-02 6.321279704570770264e-02 4.993843473494052887e-02 8.563354727812111595e-04 -4.476768458262085637e-02 -9.470611885190009793e-02 4.940169267356395860e-02 5.727788694202899655e-02 6.977132237580007952e-05 9.178126456390600109e-05 1.594316680675265385e-01 4.455301224817838010e-04 2.106719683977300583e-01
-4.781182100996374945e-02 9.056458249688148499e-02 5.607654228806495389e-02 8.264721196610480764e-04 -5.868197921663522582e-02 -1.147585205733776120e-01 4.940153844654560089e-02 5.668849088251590868e-02 6.977129878578125228e-05 1.184170098895265228e-04 1.475045649379436163e-01 9.847003278126071658e-04 2.053922796734822531e-01
-7.975920271128415784e-02 1.564968451857566833e-01 8.755815699696541110e-02 7.798953214660286687e-04 -7.165685649961232861e-02 -1.592150136828422435e-01 4.940204732120036940e-02 5.625394918024539948e-02 6.977132088650250265e-05 8.451916037301998043e-05 1.386967186674855079e-01 2.985268887811876114e-04 2.273332978746981092e-01
-6.033184593543410024e-02 1.653534546494483948e-01 6.793770864605903903e-02 7.605862047057598829e-04 -8.410052414983511249e-02 -1.520382318645715769e-01 4.940127655863761624e-02 5.581406578421592435e-02 6.977131815801839733e-05 -2.502502502466086298e-05 1.298101926138839346e-01 1.918904728468713876e-03 2.004273921931174485e-01
