# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
2.285836115479469161e-02 -3.649726137518882751e-02 3.243974223732948130e-03 2.610233495943248272e-03 -2.420234028249978965e-04 -3.485998066025786102e-03 2.518661096692085405e-02 2.487990092486143043e-02 5.696103889931691946e-05 -3.798287609697581231e-05 1.217750345411963350e-02 3.769618513472054126e-03 2.180132968726788620e-02
3.707514703273773193e-02 -2.343009284231811762e-02 -1.238347999751567875e-02 2.469166740775108424e-03 1.928819809108972549e-03 1.431229991867439752e-02 2.518635038286447594e-02 2.437920402735471725e-02 5.696104053640737994e-05 2.772427778836572611e-05 3.204697557240581557e-02 1.160817756540545023e-03 4.806044006723714929e-02
4.921906003728508672e-02 -2.953204838559031487e-02 -2.552942782640457015e-02 2.368963276967406446e-03 5.542592657729983156e-03 3.107202043756842474e-02 2.518661953508853982e-02 2.400419600307941367e-02 5.696104199159890413e-05 1.686494015302741968e-05 4.694649594856887403e-02 1.591960436815268538e-03 7.643684748875612112e-02
2.689320836216211458e-02 5.436185747385025024e-03 -4.158941470086574901e-03 2.273426693864166910e-03 9.969647042453289032e-03 1.412858876865357230e-02 2.518657092005014558e-02 2.370068058371543884e-02 5.696102925867307931e-05 4.889940955763449757e-05 5.899534085018482560e-02 3.200761122388809800e-04 6.574778512637445560e-02
2.257076594978570799e-02 -2.337073860689997673e-02 -1.145429443567991257e-03 2.142533613368869001e-03 1.491953069344162906e-02 1.606495957821607590e-02 2.518649827688932558e-02 2.329811546951532364e-02 5.696102816727943447e-05 1.992737046094816697e-05 7.497599652555797523e-02 1.470377394178781338e-03 7.973433697667361986e-02
4.358172472566366334e-02 -7.926050573587417603e-02 -2.287460640072822710e-02 2.070711739361285990e-03 2.091574919177219272e-02 4.379035485908389091e-02 2.518647462129592826e-02 2.294605113565921853e-02 5.696103053196566044e-05 5.634739245579112592e-05 8.895343708219531631e-02 2.436379387654837231e-05 1.139231190161613810e-01
2.997429361566901138e-02 -2.616675663739442825e-02 -1.005118666216731071e-02 1.992310758214444096e-03 2.802500645630061696e-02 3.807619255967438499e-02 2.518667113035917213e-02 2.268411647528410097e-02 5.696103289665188640e-05 1.794113222786108963e-05 9.936027837990925315e-02 1.549228179670329112e-03 1.129530039799613444e-01
3.732400014996528625e-02 -6.578933820128440857e-02 -1.812848560512065818e-02 1.919551368337124499e-03 3.567644311115145822e-02 5.380492876283824583e-02 2.518622968345880439e-02 2.238729391247034142e-02 5.696102616639109464e-05 8.552078322168198978e-05 1.111296055842590086e-01 1.133943325900570740e-03 1.323115858836173553e-01
3.342077974230051041e-02 -4.777536634355783463e-02 -1.489048488438129460e-02 1.853029453195631591e-03 4.428142411634326120e-02 5.917190909385681291e-02 2.518621515482664247e-02 2.224121000617742400e-02 5.696102803085523056e-05 3.175384817950543676e-05 1.169292460351238488e-01 1.000832387692769491e-03 1.346735927603935346e-01
3.372119180858135223e-02 -5.614663474261760712e-02 -1.621555015444755415e-02 1.750564179383218375e-03 5.334447235800325593e-02 6.956002227962017337e-02 2.518666107207536559e-02 2.198910489678383012e-02 5.696103862646850486e-05 4.405648651299998435e-05 1.269543496064960697e-01 5.123566032046834124e-04 1.454328205435315158e-01
2.779734265059232573e-02 -6.808894127607345581e-02 -1.055743992328643868e-02 1.723990263417363123e-03 6.284933593124150675e-02 7.340677604079245966e-02 2.518660444766283174e-02 2.179461047053337167e-02 5.696103398804553124e-05 2.300719315826427056e-05 1.346745244696747057e-01 1.348091240285622825e-03 1.483040458966641273e-01
3.551164045929908891e-02 -5.639282613992691040e-02 -1.881822943687438965e-02 1.669341058004647493e-03 7.278661839663982946e-02 9.160484783351421911e-02 2.518666293472051482e-02 2.170679289847612242e-02 5.696102743968367577e-05 -3.471858690318186048e-07 1.381632034829485822e-01 2.275339669053147440e-03 1.609261136468807529e-01
3.120468817651271889e-02 -4.827332822605967522e-02 -1.527157314121723244e-02 1.593311410397291270e-03 8.323986828327178955e-02 9.851144172716885805e-02 2.518653124570846558e-02 2.144150882959365914e-02 5.696103935406427035e-05 6.456400942624895291e-05 1.486914724156082335e-01 3.018665014928678214e-04 1.658582234687156209e-01
1.326606245711445774e-02 -7.462380453944206238e-02 2.172163501381873911e-03 1.543822628445923372e-03 9.433825574815273007e-02 9.216609224677085876e-02 2.518639490008354326e-02 2.137506622821092744e-02 5.696103071386460350e-05 2.825317169481422820e-05 1.513248992895227241e-01 1.139816124212970948e-03 1.561807015435635049e-01
2.225490594282746384e-02 -1.273410171270370483e-01 -7.048181071877479380e-03 1.520672463811933994e-03 1.058149743825197164e-01 1.128631554543972071e-01 2.518665678799152444e-02 2.119162492454051971e-02 5.696104199159890413e-05 9.905250709039137833e-05 1.586169969647236444e-01 1.671181111944544878e-03 1.688570316123576276e-01
2.246101042255759309e-02 -1.373877972364425659e-01 -7.632482051849365408e-03 1.482852839399129196e-03 1.171327464282512637e-01 1.247652284801006317e-01 2.518662046641111443e-02 2.129635717719793181e-02 5.696102730325947186e-05 2.200360904680565000e-05 1.544575340803178432e-01 1.387936039362053751e-03 1.649608050109283852e-01
1.242023427039384842e-02 -1.066805720329284668e-01 1.947942376136779742e-03 1.436817622743547006e-03 1.284019000828266199e-01 1.264539577066898235e-01 2.518627364188432555e-02 2.129403837025165697e-02 5.696102612091635548e-05 8.943437787820585614e-05 1.545379569372029860e-01 1.289327362107174375e-03 1.592120442981904971e-01
8.417270239442586552e-03 -1.081688776612281799e-01 5.719214677810668945e-03 1.413648494053631978e-03 1.397488534450531117e-01 1.340296387672424427e-01 2.518660686910152366e-02 2.139488719403743675e-02 5.696103544323704866e-05 1.913680143843521296e-05 1.505450771761223383e-01 1.501759812263642494e-03 1.591797001602502648e-01
2.104471605271101067e-02 -1.584164947271347046e-01 -7.476884126663208181e-03 1.356783194933086677e-03 1.508770421147346552e-01 1.583539262413978521e-01 2.518642581999301980e-02 2.145531382411718438e-02 5.696104317394201373e-05 5.688100009137997065e-06 1.481397965076066414e-01 2.035737167679732649e-03 1.590092009968826769e-01
4.709670506417751486e-03 -1.649811640381813049e-01 8.879441767930984497e-03 1.358911243733018550e-03 1.616661578416824230e-01 1.527867160737514385e-01 2.518643401563167711e-02 2.159021496772766183e-02 5.696102850833994764e-05 3.519030578900128467e-05 1.427839703520267511e-01 8.643828937817289856e-04 1.538867062574724998e-01
-6.955082714557647879e-03 -1.496785655617713928e-01 1.996209546923637460e-02 1.300701312720775518e-03 1.721500858664512523e-01 1.521879903972148951e-01 2.518671192228794098e-02 2.176657337695360114e-02 5.696103839909482942e-05 7.977708628459368240e-06 1.357913869722723876e-01 1.944808433900610881e-03 1.589989921881301560e-01
1.103093167766928603e-02 -1.832717806100845337e-01 1.465129107236862096e-03 1.249606115743517962e-03 1.820985130965709631e-01 1.806333839893340953e-01 2.518649995326995711e-02 2.202046439051628252e-02 5.696103198715718463e-05 2.886798911276855438e-05 1.257036733369904236e-01 1.115400826847555600e-03 1.295338093868183549e-01
