# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
-1.801488721370696933e+00 -1.356800079345703125e+00 2.040370631217956365e+00 2.388819158077239851e-02 3.436399197578430265e+00 1.396028566360473677e+00 1.452447086572647150e-01 7.932992130517960150e-02 -7.812333729816600897e-04 -7.704152318183332898e-04 4.538188548208735296e-01 7.448217056071890544e-05 2.518152159790163047e+00
-1.852641546726226718e+00 -1.430202841758728027e+00 2.110603237152099521e+00 2.579616904258728166e-02 3.577052688598632901e+00 1.466449475288391202e+00 1.452443987131118719e-01 8.084954395890235623e-02 -7.812333980837138803e-04 -6.781197196687571271e-04 4.433551677332459029e-01 7.099322199537480647e-04 2.580464506147886361e+00
-1.850620174407958896e+00 -1.555632054805755615e+00 2.134652233123779386e+00 2.840320523828267912e-02 3.705223345756530673e+00 1.570571088790893466e+00 1.452450290322303827e-01 8.249174430966377258e-02 -7.812333758920430703e-04 -7.567233726149425344e-04 4.320511699454401278e-01 1.687493433699058254e-04 2.595275357650872028e+00
-1.863122165203094482e+00 -1.627853870391845703e+00 2.155435180664062589e+00 2.923130095005035262e-02 3.820653915405273438e+00 1.665218734741210849e+00 1.452443033456802257e-01 8.404634445905685702e-02 -7.812333788024261594e-04 -9.208066010614856644e-04 4.213449854935197858e-01 9.609548811419848721e-04 2.606972421988774880e+00
-1.873410499095916837e+00 -1.733941376209259033e+00 2.179676628112793058e+00 3.062661234289407869e-02 3.938612270355224432e+00 1.758935606479644864e+00 1.452449962496757396e-01 8.567580580711364746e-02 -7.812333409674465439e-04 -7.621713710250332518e-04 4.101290370082883441e-01 1.312401145270063380e-04 2.620563517578502477e+00
-1.886210250854492232e+00 -1.797169566154479980e+00 2.209831523895263494e+00 3.236212953925132751e-02 4.043681526184082387e+00 1.833849978446960405e+00 1.452450245618820135e-01 8.680628165602684299e-02 -7.812333686160854562e-04 -6.736780713254119767e-04 4.023459191234110000e-01 7.405093400917754686e-04 2.645280081898017777e+00
-1.871450400352478116e+00 -1.917927324771881104e+00 2.195957946777343572e+00 3.245075326412916183e-02 4.129368734359741389e+00 1.933410775661468461e+00 1.452442690730094965e-01 8.850940242409706393e-02 -7.812334079062566161e-04 -6.983916187891736843e-04 3.906169035833219061e-01 5.703618438457681329e-04 2.619595965468640486e+00
-1.850469064712524370e+00 -2.006949186325073242e+00 2.186000251770019442e+00 3.355311714112758914e-02 4.215442991256713512e+00 2.029442751407623202e+00 1.452439501881599426e-01 9.006248340010643283e-02 -7.812334024492884055e-04 -8.149364584824070334e-04 3.799226523114206389e-01 2.320444740674231648e-04 2.599708065696634929e+00
-1.828993535041809171e+00 -2.076420783996582031e+00 2.163113307952881037e+00 3.341197874397039413e-02 4.275756359100341797e+00 2.112643051147460760e+00 1.452451512217521612e-01 9.169107452034949701e-02 -7.812333496985957026e-04 -8.425118838204070492e-04 3.687150741388301456e-01 4.218972792271241863e-04 2.565662258114908667e+00
-1.791555881500244141e+00 -2.183306217193603516e+00 2.126628708839416682e+00 3.350728210061788837e-02 4.328543376922607600e+00 2.201914668083190918e+00 1.452442988753318842e-01 9.330790191888808927e-02 -7.812333707988728271e-04 -7.038523537630681382e-04 3.575795907876906377e-01 5.327645741310003610e-04 2.518248346301855900e+00
-1.760794818401336670e+00 -2.237958073616027832e+00 2.090568280220031827e+00 3.297734614461660108e-02 4.367620372772217152e+00 2.277052092552184881e+00 1.452443599700927734e-01 9.479576721787452698e-02 -7.812334166374057748e-04 -7.346543745370582180e-04 3.473359844214175540e-01 3.206943258217939728e-04 2.471202305111888098e+00
-1.721737527847289950e+00 -2.318345189094543457e+00 2.040450358390808017e+00 3.187128268182277957e-02 4.398513460159302113e+00 2.358063101768493652e+00 1.452440351247787365e-01 9.641985222697257996e-02 -7.812334006302990019e-04 -6.930416042450815222e-04 3.361527573612595465e-01 6.071973717119945931e-04 2.409081595805602216e+00
-1.698966395854949907e+00 -2.447269916534423828e+00 2.005775809288024902e+00 3.068094234913587570e-02 4.436618089675903320e+00 2.430842280387878418e+00 1.452445611357688904e-01 9.784832298755645474e-02 -7.812333918991498432e-04 -7.135180610930546685e-04 3.263202269142593259e-01 4.662159483020595664e-04 2.363243194499722311e+00
-1.629490065574646041e+00 -2.504665851593017578e+00 1.924859142303466886e+00 2.953690774738788535e-02 4.444293260574340820e+00 2.519434118270873935e+00 1.452428549528121948e-01 9.956919997930527289e-02 -7.812333980837138803e-04 -8.232214589952491007e-04 3.144640401624666515e-01 2.890886503497028638e-04 2.269149178863671068e+00
-1.617120122909545987e+00 -2.557818174362182617e+00 1.900224351882934481e+00 2.831042241305112978e-02 4.466665172576904652e+00 2.566440820693969727e+00 1.452445611357688904e-01 1.008213475346565191e-01 -7.812333846231922290e-04 -6.977060500503284423e-04 3.058511331056413818e-01 5.750806358539693611e-04 2.234960988037480778e+00
-1.543330371379852295e+00 -2.649031281471252441e+00 1.819833874702453613e+00 2.765035089105367591e-02 4.481503868103027699e+00 2.661669993400573642e+00 1.452426552772521917e-01 1.025290824472904205e-01 -7.812333788024261594e-04 -8.682018262334168391e-04 2.940842189102931825e-01 5.987803463409473864e-04 2.142167224850141327e+00
-1.502435541152954190e+00 -2.719805359840393066e+00 1.758854794502258345e+00 2.564192619174718996e-02 4.485409688949585139e+00 2.726554894447326571e+00 1.452445909380912781e-01 1.040606349706649780e-01 -7.812333817128092484e-04 -8.312332793138921261e-04 2.835489824519310531e-01 3.442461938018088943e-04 2.068389949339738187e+00
-1.445391786098480180e+00 -2.774737358093261719e+00 1.700523710250854581e+00 2.551319450139999390e-02 4.499497222900390447e+00 2.798973512649536310e+00 1.452443137764930781e-01 1.056167282164096888e-01 -7.812333904439582987e-04 -8.475807015202007754e-04 2.728339893621642420e-01 4.567979933306248914e-04 1.999327692107749410e+00
