# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std increment_std_rel_error checkpoint_selection_score
1.724655377864837691e+00 2.695350442081689835e-02 1.378494622185826371e-02 1.738440334796905462e-01 -1.245726710185408523e-02 -2.624221332371234894e-02 3.546360731124877791e-02 3.421812169253826003e-02 3.512010517554822048e-02 2.227490848770970477e-01
1.577984213829040527e+00 2.688491996377706528e-02 1.384088648483157089e-02 1.591825097799301203e-01 -1.421630494296550681e-02 -2.805719152092933655e-02 3.546343185007572174e-02 3.446932546794414381e-02 2.803187199440269201e-02 2.010552682591643658e-01
1.439340138435363681e+00 2.910303138196468353e-02 1.318438220769166912e-02 1.452524498105049189e-01 -1.596481259912252426e-02 -2.914919480681419511e-02 3.546341396868228635e-02 3.468968048691749295e-02 2.181779459885782937e-02 1.802546266170544087e-01
1.307307600975036621e+00 3.139785304665565491e-02 1.288962755352258613e-02 1.320197239518165477e-01 -1.769946757704019685e-02 -3.058909513056278298e-02 3.546350412070751329e-02 3.497997820377349992e-02 1.363446531607808744e-02 1.585438168214172161e-01
1.182281661033630416e+00 3.291967138648033142e-02 1.229619681835174630e-02 1.194577880203723935e-01 -1.941600218415260454e-02 -3.171219900250434737e-02 3.546355664730072021e-02 3.522425405681132993e-02 6.747845199583408539e-03 1.385018300383075440e-01
1.064827060699462979e+00 3.385272994637489319e-02 1.263453382998704945e-02 1.077461600303649958e-01 -2.110012192279100279e-02 -3.373465575277805051e-02 3.546347431838512559e-02 3.537449724972248355e-02 2.508977768543258456e-03 1.228896716288953028e-01
9.555394113063812034e-01 3.616884350776672363e-02 1.182287652045488358e-02 9.673623144626616877e-02 -2.276210989803075652e-02 -3.458498641848564009e-02 3.546362780034541945e-02 3.567106500267982344e-02 5.849294479865205405e-03 1.144084024465862603e-01
8.527696251869201216e-01 3.678743354976177216e-02 1.181916594505310128e-02 8.645888045430183411e-02 -2.438727170228958269e-02 -3.620643764734268050e-02 3.546352460980415483e-02 3.596134148538112502e-02 1.403743370238240765e-02 1.123154801017373361e-01
7.590184450149536355e-01 3.766691125929355621e-02 1.113319545984268154e-02 7.701516449451446811e-02 -2.597467638552188735e-02 -3.710787184536457062e-02 3.546372205018997331e-02 3.617165572941303392e-02 1.996219342688273016e-02 1.081105533812398711e-01
6.720743060111999956e-01 3.846325911581516266e-02 1.043589226901531219e-02 6.825102046132087985e-02 -2.752843685448169708e-02 -3.796432912349700928e-02 3.546362705528736253e-02 3.642765991389751434e-02 2.718370732582013269e-02 1.058706200561563282e-01
5.929278969764709695e-01 3.886566869914531708e-02 9.813059866428375938e-03 6.027409546077251712e-02 -2.902535349130630493e-02 -3.883841335773467740e-02 3.546345904469490329e-02 3.663655072450637540e-02 3.307888489670270799e-02 1.031660402239036045e-01
5.195164114236832109e-01 3.942239284515380859e-02 9.870764613151550987e-03 5.293871872127055983e-02 -3.048990033566951682e-02 -4.036066494882106781e-02 3.546359352767467638e-02 3.703533820807933946e-02 4.431994967272007840e-02 1.071294330071421996e-01
4.548060297966003418e-01 4.074489884078502655e-02 8.790793456137179981e-03 4.635968245565891266e-02 -3.189369905740022798e-02 -4.068449251353740970e-02 3.546320721507072171e-02 3.728054203093052188e-02 5.124564185035824365e-02 1.063961177621543380e-01
3.952524989843368419e-01 4.218620434403419495e-02 8.410836942493915905e-03 4.036633372306823453e-02 -3.325274307280778885e-02 -4.166358001530170302e-02 3.546354286372661868e-02 3.761368878185748776e-02 6.062975507925029428e-02 1.094069257448124499e-01
3.426156163215637318e-01 4.246378503739833832e-02 7.360824570059776480e-03 3.499764353036880632e-02 -3.455781899392604967e-02 -4.191864356398582181e-02 3.546366654336452484e-02 3.796288408339023451e-02 7.047262123613827478e-02 1.128310893365668532e-01
2.959772914648056141e-01 4.275331273674964905e-02 6.478816270828247070e-03 3.024561051279306412e-02 -3.580170050263405124e-02 -4.228051677346229831e-02 3.546359799802303175e-02 3.818325139582157135e-02 7.668859199998437348e-02 1.134130187836056847e-01
2.541408956050872914e-01 4.608983919024467468e-02 5.906096473336219614e-03 2.600469924509525230e-02 -3.699074499309062958e-02 -4.289684146642684659e-02 3.546359799802303175e-02 3.861254379153251926e-02 8.879374827100838807e-02 1.207045439894398609e-01
2.176668792963027954e-01 4.401382990181446075e-02 5.005218461155891765e-03 2.226720992475748201e-02 -3.812580741941928864e-02 -4.313102588057517867e-02 3.546339273452758789e-02 3.869746141135692319e-02 9.119456508145687423e-02 1.184669934673702463e-01
1.857264086604118458e-01 4.164581000804901123e-02 4.071128740906715567e-03 1.897975355386733939e-02 -3.919096067547798296e-02 -4.326208941638469418e-02 3.546304032206535478e-02 3.906539045274257799e-02 1.015804087258202482e-01 1.246312910205943092e-01
