# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
1.231699902564287186e-02 -2.731701731681823730e-01 -5.819088220596313824e-03 6.497910362668335438e-04 2.862027764320373424e-01 2.920218646526336892e-01 3.405679501593113223e-02 2.942984011024236610e-02 5.204863427206873720e-03 5.162900546565651894e-03 1.358599628470178455e-01 1.232144146868788736e-03 1.435609862507497836e-01
4.216208914294838558e-03 -2.891041934490203857e-01 2.153478562831878662e-03 6.369687791448086934e-04 2.977910652756691201e-01 2.956375867128372414e-01 3.405653610825538913e-02 2.943991869688034058e-02 5.204863427206873720e-03 5.195761006325483669e-03 1.355574564766265644e-01 2.672738311432773040e-04 1.386151776497465404e-01
-8.582685003057121884e-03 -3.039651215076446533e-01 1.483922004699706962e-02 6.256534892600029490e-04 3.097813040018081443e-01 2.949420839548110851e-01 3.405618332326412062e-02 2.939595803618431230e-02 5.204863427206873720e-03 5.156722245737909924e-03 1.368393293725172766e-01 1.413581228718148713e-03 1.537177841374924858e-01
4.693871783092618162e-03 -3.145143985748291016e-01 1.359808444976806597e-03 6.053679680917412043e-04 3.219636648893356434e-01 3.206038564443588479e-01 3.405653871595859528e-02 2.951289806514978409e-02 5.204863427206873720e-03 5.115022836253047163e-03 1.334146340757255689e-01 2.637983610151493994e-03 1.380177940989456009e-01
-4.987093433737754648e-03 -3.483656942844390869e-01 1.098445951938629116e-02 5.997366330120712736e-04 3.335122287273407093e-01 3.225277692079543956e-01 3.405611664056777677e-02 2.950714472681283812e-02 5.204863473773002278e-03 5.179591337218880306e-03 1.335728310315514034e-01 7.420733497041067045e-04 1.458991005336538749e-01
2.998486533761024388e-03 -3.555658310651779175e-01 2.775517106056213205e-03 5.774004035629332282e-04 3.455284327268600686e-01 3.427529156208038441e-01 3.405629061162471910e-02 2.971093393862247328e-02 5.204863473773002278e-03 5.067843291908502405e-03 1.275933636586779607e-01 4.023344275013506638e-03 1.349696254433106202e-01
-4.568410711362958301e-03 -3.395906090736389160e-01 1.009832918643951451e-02 5.529918824322521253e-04 3.569835633039474265e-01 3.468852341175079346e-01 3.405670039355754991e-02 2.983858026564121385e-02 5.204863380640745163e-03 5.108437733724713326e-03 1.238558074930363878e-01 2.831326752119567910e-03 1.373384553140277187e-01
-1.150809898972511222e-02 -3.691946566104888916e-01 1.704657077789306641e-02 5.538471945328637741e-04 3.682664811611175426e-01 3.512199103832244762e-01 3.405612707138061523e-02 2.999725919216871331e-02 5.204863473773002278e-03 5.110323848202824766e-03 1.191817222958281713e-01 2.775994621151410199e-03 1.395581348894055218e-01
4.671989940106868527e-04 -4.047355949878692627e-01 4.957893490791320454e-03 5.425092647783457799e-04 3.786332309246063232e-01 3.736753374338149802e-01 3.405604586005210599e-02 3.015696760267019133e-02 5.204863427206873720e-03 5.181921925395726984e-03 1.144900460050490149e-01 6.736396205463060375e-04 1.206640883811649911e-01
-8.735631220042705189e-03 -3.998774886131286621e-01 1.410654187202453613e-02 5.370910541387275295e-04 3.882394492626189964e-01 3.741329073905944602e-01 3.405656740069389066e-02 3.032106347382068634e-02 5.204863334074616606e-03 5.206774454563856125e-03 1.096852739976199032e-01 5.611606321617911361e-05 1.243850229869993412e-01
-2.932509342208504746e-02 -3.696449548006057739e-01 3.434924483299255094e-02 5.024151410907507160e-04 3.978050202131271362e-01 3.634557753801345714e-01 3.405605591833591600e-02 3.061571698635816643e-02 5.204863334074616606e-03 5.215254193171858614e-03 1.010198873330025726e-01 3.051104661635940926e-04 1.361766577732494710e-01
-2.311989180743694375e-02 -3.760285675525665283e-01 2.806106805801391463e-02 4.941175866406410933e-04 4.066835820674896129e-01 3.786225140094757191e-01 3.405594527721404752e-02 3.088687509298324724e-02 5.204863473773002278e-03 5.097954068332910538e-03 9.305482958530851556e-02 3.139228835573765111e-03 1.247492440655368351e-01
